judge,face,cond,C1,C2,rating
35,22,A,-0.5,0,7
1,22,A,-0.5,0,5
67,22,A,-0.5,0,4
29,22,A,-0.5,0,6
52,22,A,-0.5,0,5
62,22,A,-0.5,0,6
50,22,A,-0.5,0,6
4,22,A,-0.5,0,4
9,22,A,-0.5,0,4
56,22,A,-0.5,0,7
49,22,A,-0.5,0,5
64,22,A,-0.5,0,1
47,22,A,-0.5,0,5
68,22,A,-0.5,0,4
63,22,A,-0.5,0,2
42,22,A,-0.5,0,4
31,22,A,-0.5,0,4
33,22,A,-0.5,0,3
57,22,A,-0.5,0,5
25,22,A,-0.5,0,5
45,22,A,-0.5,0,2
30,22,A,-0.5,0,4
18,22,A,-0.5,0,4
40,22,A,-0.5,0,3
65,22,A,-0.5,0,1
66,23,A,-0.5,0,3
20,23,A,-0.5,0,2
22,23,A,-0.5,0,4
69,23,A,-0.5,0,5
7,23,A,-0.5,0,2
41,23,A,-0.5,0,1
60,23,A,-0.5,0,1
19,23,A,-0.5,0,2
59,23,A,-0.5,0,1
15,23,A,-0.5,0,7
51,23,A,-0.5,0,5
8,23,A,-0.5,0,1
32,23,A,-0.5,0,4
6,23,A,-0.5,0,5
28,23,A,-0.5,0,2
10,23,A,-0.5,0,1
26,23,A,-0.5,0,2
53,23,A,-0.5,0,1
46,23,A,-0.5,0,3
24,23,A,-0.5,0,1
34,23,A,-0.5,0,1
16,23,A,-0.5,0,1
58,23,A,-0.5,0,2
12,23,A,-0.5,0,1
39,23,A,-0.5,0,3
38,23,A,-0.5,0,3
37,23,A,-0.5,0,1
43,23,A,-0.5,0,1
3,23,A,-0.5,0,1
54,23,A,-0.5,0,2
11,23,A,-0.5,0,3
61,23,A,-0.5,0,1
13,23,A,-0.5,0,1
70,23,A,-0.5,0,7
44,23,A,-0.5,0,6
14,23,A,-0.5,0,2
17,23,A,-0.5,0,3
27,23,A,-0.5,0,1
55,23,A,-0.5,0,3
36,23,A,-0.5,0,3
5,23,A,-0.5,0,1
21,23,A,-0.5,0,2
48,23,A,-0.5,0,1
23,23,A,-0.5,0,2
2,23,A,-0.5,0,1
35,23,A,-0.5,0,2
1,23,A,-0.5,0,5
67,23,A,-0.5,0,5
29,23,A,-0.5,0,6
52,23,A,-0.5,0,1
62,23,A,-0.5,0,3
50,23,A,-0.5,0,1
4,23,A,-0.5,0,5
9,23,A,-0.5,0,2
56,23,A,-0.5,0,2
49,23,A,-0.5,0,3
64,23,A,-0.5,0,1
47,23,A,-0.5,0,1
68,23,A,-0.5,0,1
63,23,A,-0.5,0,1
42,23,A,-0.5,0,6
31,23,A,-0.5,0,3
33,23,A,-0.5,0,1
57,23,A,-0.5,0,6
25,23,A,-0.5,0,2
45,23,A,-0.5,0,1
30,23,A,-0.5,0,4
18,23,A,-0.5,0,1
40,23,A,-0.5,0,2
65,23,A,-0.5,0,3
66,24,A,-0.5,0,4
20,24,A,-0.5,0,1
